Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team 
2008,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3255,3085,6340,,,,,,,,,255994,,,255994,11842009,322882,,12164891,,,,,,,,,131192,289429,,420621,,,,,,,,,7058,28959,,36017,,202893,,202893,9029583,,,9029583,146520,161277,,307797,,,,,,,,,309875,271208,,581083,,,,,,,,,,230293,,230293,,,,,,,,,260357,313906,,574263,,,,,,,,,17670,62561,,80231,,,,,,,,,,,,,,,,,210367,148585,,358952,,,,,,,,,,
2008,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7027,10016,17043,,,,,,,,,874648,,,874648,19852544,585021,,20437565,,,,,,,,,305527,479352,,784879,,,,,,,,,21664,17511,,39175,,364157,,364157,24163760,,,24163760,126346,174025,,300371,,211898,,211898,,,,,569766,386024,,955790,,,,,,,,,,88350,,88350,,,,,,,,,261944,422364,,684308,,339998,,339998,,,,,309325,391778,,701103,,,,,,,,,,,,,,,,,195484,157881,,353365,,,,,,,,,,
2009,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3287,3113,6400,,,,,,,,,1155096,,,1155096,26667056,2484655,,29151711,,,,,,,,,736443,1446221,,2182664,,,,,,,,,29551,121139,,150690,,1082094,,1082094,16109324,,,16109324,438175,545337,,983512,,,,,,,,,1188405,1112812,,2301217,,,,,,,,,,1146597,,1146597,,,,,,,,,990621,1294307,,2284928,,,,,,,,,64743,274800,,339543,,,,,,,,,,,,,,,,,431047,599212,,1030259,,,,,,,,,,
2009,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7077,10190,17267,,,,,,,,,600819,,,600819,20551168,496509,,21047677,,,,,,,,,349294,363397,,712691,,,,,,,,,608,608,,1216,,313284,,313284,22077550,,,22077550,124204,136357,,260561,,203300,,203300,,,,,565465,424625,,990090,,,,,,,,,,107033,,107033,,,,,,,,,237357,383718,,621075,,353544,,353544,,,,,299507,412951,,712458,,,,,,,,,,,,,,,,,197646,155527,,353173,,,,,,,,,,
2010,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3335,3203,6538,,,,,,,,,1144098,,,1144098,28917329,2590398,,31507727,,,,,,,,,829988,1494020,,2324008,,,,,,,,,5884,100209,,106093,,1146703,,1146703,18243589,,,18243589,565275,428125,,993400,,,,,,,,,1523067,1096323,,2619390,,,,,,,,,,1092939,,1092939,,,,,,,,,985459,1332553,,2318012,,,,,,,,,53921,306666,,360587,,,,,,,,,,,,,,,,,640288,895079,,1535367,,,,,,,,,,
2010,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7126,10331,17457,,,,,,,,,800975,,,800975,19672012,646898,,20318910,,,,,,,,,485750,583986,,1069736,,,,,,,,,3208,3208,,6416,,475891,,475891,26385760,,,26385760,150052,247471,,397523,,445827,,445827,,,,,570837,494147,,1064984,,,,,,,,,,114163,,114163,,,,,,,,,384315,626583,,1010898,,380217,,380217,,,,,463294,620620,,1083914,,,,,,,,,,,,,,,,,173816,328405,,502221,,,,,,,,,,
2011,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3270,3256,6526,,,,,,,,,1577689,,,1577689,25665732,3602231,,29267963,,,,,,,,,1170122,2245171,,3415293,,,,,,,,,13847,141673,,155520,,1505654,,1505654,25373767,,,25373767,617763,774452,,1392215,,,,,,,,,1843082,1554669,,3397751,,,,,,,,,,1718306,,1718306,,,,,,,,,1311942,1930169,,3242111,,,,,,,,,159272,261533,,420805,,,,,,,,,,,,,,,,,627447,1083444,,1710891,,,,,,,,,,
2011,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7212,10174,17386,,,,,,,,,902302,,,902302,24011268,617966,,24629234,,,,,,,,,516865,632160,,1149025,,,,,,,,,2983,2983,,5966,,535411,,535411,27626613,,,27626613,161876,233765,,395641,,380685,,380685,,,,,721290,481376,,1202666,,,,,,,,,,107088,,107088,,,,,,,,,410577,679861,,1090438,,425499,,425499,,,,,444541,572459,,1017000,,,,,,,,,,,,,,,,,290542,328051,,618593,,,,,,,,,,
2012,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3246,3238,6484,,,,,,,,,1534067,,,1534067,25735093,3090405,,28825498,,,,,,,,,1150198,2218796,,3368994,,,,,,,,,13233,139646,,152879,,1503337,,1503337,24121573,,,24121573,633817,766483,,1400300,,,,,,,,,1872864,1534794,,3407658,,,,,,,,,,1695181,,1695181,,,,,,,,,1310821,1750627,,3061448,,,,,,,,,172434,273566,,446000,,,,,,,,,,,,,,,,,670378,1104248,,1774626,,,,,,,,,,
2012,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7265,10241,17506,,,,,,,,,1178494,,,1178494,19632779,728131,,20360910,,,,,,,,,439920,636377,,1076297,,,,,,,,,4283,4283,,8566,,546317,,546317,31481105,,,31481105,270695,265882,,536577,,441313,,441313,,,,,656980,506839,,1163819,,,,,,,,,,102187,,102187,,,,,,,,,539056,717813,,1256869,,531837,,531837,,,,,433347,577565,,1010912,,,,,,,,,,,,,,,,,160436,342946,,503382,,,,,,,,,,
2013,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3230,3265,6495,,,,,,,,,1637143,,,1637143,27000243,3182066,,30182309,,,,,,,,,1200829,2208909,,3409738,,,,,,,,,22281,131837,,154118,,1497614,,1497614,25243479,,,25243479,718745,794435,,1513180,,,,,,,,,2313923,1582368,,3896291,,,,,,,,,,1681531,,1681531,,,,,,,,,1545019,1828055,,3373074,,,,,,,,,101978,305624,,407602,,,,,,,,,,,,,,,,,706450,1262584,,1969034,,,,,,,,,,
2013,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7284,10235,17519,,,,,,,,,975767,,,975767,20905642,894010,,21799652,,,,,,,,,506085,627793,,1133878,,,,,,,,,2338,2338,,4676,,565842,,565842,33261045,,,33261045,252372,293030,,545402,,452670,,452670,,,,,691605,570809,,1262414,,,,,,,,,,161999,,161999,,,,,,,,,426892,776062,,1202954,,485627,,485627,,,,,455291,697594,,1152885,,,,,,,,,,,,,,,,,244863,512790,,757653,,,,,,,,,,
2014,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3257,3214,6471,,,,,,,,,1498984,,,1498984,33772145,3194313,,36966458,,,,,,,,,1227030,2144248,,3371278,,,,,,,,,19882,253728,,273610,,1260690,,1260690,32407399,,,32407399,612867,713566,,1326433,,,,,,,,,1805272,1450250,,3255522,,,,,,,,,,1835580,,1835580,,,,,,,,,1208368,1677433,,2885801,,,,,,,,,65618,918810,,984428,,,,,,,,,,,,,,,,,605432,1026405,,1631837,,,,,,,,,,
2014,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7352,10174,17526,,,,,,,,,936368,,,936368,20771541,806175,,21577716,,,,,,,,,615961,929648,,1545609,,,,,,,,,3135,16862,,19997,,738274,,738274,36050976,,,36050976,264792,337861,,602653,,501240,,501240,,,,,755862,623195,,1379057,,,,,,,,,,132367,,132367,,,,,,,,,483251,750168,,1233419,,531834,,531834,,,,,547639,742563,,1290202,,,,,,,,,,,,,,,,,237076,419710,,656786,,,,,,,,,,
2015,198419,00292000,Duke University,NC,NCAA Division I-A,,1,NCAA,3319,3166,6485,,,,,,,,,1680595,,,1680595,31033555,3142791,,34176346,,,,,,,,,1178302,2178226,,3356528,,,,,,,,,19687,332775,,352462,,1429372,,1429372,31795916,,,31795916,608031,732892,,1340923,,,,,,,,,2235735,1483354,,3719089,,,,,,,,,,1989246,,1989246,,,,,,,,,1230677,1767478,,2998155,,,,,,,,,113369,1371766,,1485135,,,,,,,,,,,,,,,,,631240,1042713,,1673953,,,,,,,,,,
2015,199120,00297400,University of North Carolina at Chapel Hill,NC,NCAA Division I-A,,1,NCAA,7295,10311,17606,,,,,,,,,1051576,,,1051576,21342328,496787,,21839115,,,,,,,,,570049,882903,,1452952,,,,,,,,,10263,15763,,26026,,700091,,700091,40523499,,,40523499,236131,354380,,590511,,585356,,585356,,,,,781582,689496,,1471078,,,,,,,,,,102946,,102946,,,,,,,,,598991,817751,,1416742,,495547,,495547,,,,,574295,765992,,1340287,,,,,,,,,,,,,,,,,342919,506108,,849027,,,,,,,,,,
2016,198419,00292000,Duke University,NC,NCAA Division I-FBS,,1,NCAA,3259,3190,6449,,,,,,,,,1712102,,,1712102,34398285,3605428,,38003713,,,,,,,,,1301076,2193515,,3494591,,,,,,,,,58385,463212,,521597,,1450109,,1450109,33907896,,,33907896,640371,755329,,1395700,,,,,,,,,2165864,1570780,,3736644,,,,,,,,,,2286876,,2286876,,,,,,,,,1252700,1747903,,3000603,,,,,,,,,131659,1709780,,1841439,,,,,,,,,,,,,,,,,683939,973895,,1657834,,,,,,,,,,
